"Timestamp","Gender","I can easily remember unfamiliar faces","I can easily recall familiar faces","I find it easy to recognize my childhood friends","I find it easy to identify people based on their facial features.","Overall I possess a good face-recognition ability.","I find it easier to recognize familiar faces but am often unable to trace their identity.","I pay more attention to the human face as a whole in general","I tend to pay more attention to external features of the face","The face is a n important tool for information processing","I tend to focus more on the lower part of the face","I tend to attend faster to familiar faces than unfamiliar faces","I consider the human face as an important tool for daily communication.","I am easily attracted to beautiful and fair-skinned faces.","I am more keen to get involved with a person who is good-looking.","I feel that attractive people are able to get better opportunities","I consider myself lucky that I have attractive facial features","I get easily carried away by good-looks.","I am more drawn towards the eyes of a person","I dislike people with too much facial hair.","I like to keep my face clean and glowing.","I am easily attracted towards toned cheek-bones.","I prefer make up on my face/partner's face.","I like people with sharp facial features, e.g.: sharp nose","I like to mix with people who smile whole-heartedly."
"2022/05/22 3:05:02 AM GMT+5:30","Female","3","5","3","1","1","4","3","1","2","3","5","5","1","1","4","2","1","5","1","4","2","1","2","5"
"2022/05/22 3:09:55 AM GMT+5:30","Male","3","4","4","4","4","4","4","3","4","2","3","4","4","4","3","1","1","5","3","3","4","3","4","4"
"2022/05/22 3:14:01 AM GMT+5:30","Male","3","4","4","2","3","4","5","2","4","2","4","4","3","4","5","2","2","4","3","4","3","4","4","4"
"2022/05/22 3:15:31 AM GMT+5:30","Male","2","4","3","1","3","4","2","3","3","3","4","4","4","4","3","2","4","4","3","2","3","3","4","4"
"2022/05/22 3:20:52 AM GMT+5:30","Male","3","5","5","5","4","4","3","5","5","2","5","5","3","3","4","4","2","2","4","5","3","2","2","5"
"2022/05/22 3:39:27 AM GMT+5:30","Female","3","4","3","3","3","5","5","4","4","2","5","3","5","4","5","2","3","5","2","3","3","1","3","5"
"2022/05/22 4:08:41 AM GMT+5:30","Male","5","1","1","5","1","5","1","1","1","5","1","1","1","1","3","1","1","5","1","1","1","1","5","1"
"2022/05/22 4:32:30 AM GMT+5:30","Male","5","3","3","3","5","4","3","3","5","4","4","5","4","4","4","4","3","3","2","3","3","2","4","5"
"2022/05/22 8:39:05 AM GMT+5:30","Male","2","5","3","2","4","1","5","4","5","1","5","5","3","3","4","1","2","5","1","3","2","1","4","5"
"2022/05/22 9:16:00 AM GMT+5:30","Male","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2022/05/22 9:22:49 AM GMT+5:30","F","2","5","3","3","3","4","4","4","4","3","4","4","3","2","2","3","3","4","4","4","3","2","4","4"
"2022/05/22 10:39:48 AM GMT+5:30","Male","2","3","3","4","3","4","5","4","5","5","5","5","4","3","3","4","3","4","2","3","3","4","4","5"
"2022/05/22 10:42:25 AM GMT+5:30","Male","2","4","3","3","3","4","5","4","5","2","5","3","3","2","5","1","2","3","2","2","4","1","3","4"
"2022/05/22 11:07:30 AM GMT+5:30","Male","2","4","4","4","4","2","5","3","5","3","3","5","3","4","4","3","3","5","3","5","4","1","3","5"
"2022/05/22 11:57:09 AM GMT+5:30","Male","3","4","5","4","4","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2022/05/22 3:19:39 PM GMT+5:30","God","2","2","1","1","1","5","5","1","5","2","4","5","3","3","4","4","1","5","1","3","5","2","3","5"
"2022/05/22 6:20:04 PM GMT+5:30","Female","2","4","4","4","4","1","2","2","3","1","4","1","1","1","4","3","1","4","1","5","1","2","3","5"
"2022/05/22 6:45:56 PM GMT+5:30","Male","3","4","4","5","4","4","4","4","4","5","4","4","4","4","2","1","5","4","1","4","3","3","3","5"
"2022/05/23 11:09:45 AM GMT+5:30","Male","3","5","2","3","4","4","4","3","5","3","5","4","3","3","2","3","3","4","5","4","3","1","3","5"
"2022/06/08 10:41:19 PM GMT+5:30","Male","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5"
"2022/06/08 11:18:52 PM GMT+5:30","Male","3","4","4","4","4","4","5","3","5","3","5","4","3","3","4","3","3","4","3","2","2","2","2","5"
"2022/06/08 11:39:58 PM GMT+5:30","Male","2","5","2","4","4","4","5","4","5","4","5","4","4","4","5","4","3","4","1","4","3","3","3","5"
"2022/06/09 12:04:53 AM GMT+5:30","Male ","3","5","5","5","4","4","3","5","5","2","5","5","3","3","4","4","2","2","4","5","3","2","2","5"